HIP 439    ;00 05 24.4278018131 -37 21 26.504223709
HIP 544    ;00 06 36.7840943605 +29 01 17.410390108
HIP 910    ;00 11 15.8508998160 -15 28 04.740699873
HIP 950    ;00 11 44.0207940487 -35 07 59.231973741
HIP 1292   ;00 16 12.6791488703 -79 51 04.244738563
HIP 1475   ;00 18 22.8849667932 +44 01 22.637271919
HIP 1599   ;00 20 04.2599713 -64 52 29.254760      
HIP 1803   ;00 22 51.7883318927 -12 12 33.972374893
HIP 3093   ;00 39 21.8055114029 +21 15 01.716052732
HIP 3583   ;00 45 45.5929656213 -47 33 07.146506536
HIP 3765   ;00 48 22.9763438736 +05 16 50.209562003
HIP 3821   ;00 49 06.2907161 +57 48 54.675740      
HIP 3909   ;00 50 07.5885892159 -10 38 39.584811061
HIP 4151   ;00 53 04.1958850619 +61 07 26.301822158
HIP 5336   ;01 08 16.39470 +54 55 13.2264          
HIP 5862   ;01 15 11.1225892742 -45 31 54.007631265
HIP 7339   ;01 34 33.2643888977 +68 56 53.288116227
HIP 7513   ;01 36 47.84216 +41 24 19.6443          
HIP 7751   ;01 39 47.53953 -56 11 47.0997          
HIP 7978   ;01 42 29.3148822519 -53 44 26.991165270
HIP 7981   ;01 42 29.7634932653 +20 16 06.660242064
HIP 8102   ;01 44 04.0834226 -15 56 14.926552      
HIP 8362   ;01 47 44.8336250528 +63 51 09.007331430
HIP 10138  ;02 10 25.9190575041 -50 49 25.467227759
HIP 10644  ;02 17 03.2353876410 +34 13 27.243444846
HIP 10798  ;02 18 58.5046943868 -25 56 44.473476858
HIP 12114  ;02 36 04.9023844802 +06 53 12.431588708
HIP 12444  ;02 40 12.4221262303 -09 27 10.336039665
HIP 12653  ;02 42 33.4664838826 -50 48 01.056222150
HIP 12777  ;02 44 11.9870420 +49 13 42.411120      
HIP 12843  ;02 45 06.2034405658 -18 34 21.478629972
HIP 13402  ;02 52 32.1281853696 -12 46 10.970649463
HIP 14632  ;03 09 04.0198629 +49 36 47.799638      
HIP 15330  ;03 17 46.1632605674 -62 34 31.154247481
HIP 15371  ;03 18 12.8185412558 -62 30 22.917300282
HIP 15457  ;03 19 21.6963205 +03 22 12.715139      
HIP 15510  ;03 19 55.6509352 -43 04 11.217495      
HIP 16537  ;03 32 55.8449634 -09 27 29.731165      
HIP 16852  ;03 36 52.1448022536 +00 23 58.536917738
HIP 17378  ;03 43 14.9008787 -09 45 48.208444      
HIP 17651  ;03 46 50.8881911 -23 14 59.004585      
HIP 18859  ;04 02 36.7451443573 -00 16 08.118566607
HIP 19076  ;04 05 20.2584363613 +22 00 32.055953585
HIP 19335  ;04 08 36.6168168411 +38 02 23.055834828
HIP 19849  ;04 15 16.3197260 -07 39 10.338087      
HIP 19859  ;04 15 28.8004956278 +06 11 12.699896698
HIP 21770  ;04 40 33.71305 -41 51 49.5075          
HIP 22263  ;04 47 36.2917607568 -16 56 04.041927355
HIP 22449  ;04 49 50.4109057 +06 57 40.588294      
HIP 23311  ;05 00 48.9991346145 -05 45 13.220341956
HIP 23693  ;05 05 30.6561782324 -57 28 21.728931803
HIP 24186  ;05 11 40.5893175460 -45 01 06.353955874
HIP 24813  ;05 19 08.4754630747 +40 05 56.589643877
HIP 25110  ;05 22 33.5290089287 +79 13 52.142657543
HIP 25278  ;05 24 25.4629773342 +17 23 00.729080928
HIP 25878  ;05 31 27.3958475290 -03 40 38.021551815
HIP 26394  ;05 37 09.8851202601 -80 28 08.831347245
HIP 26779  ;05 41 20.3357283721 +53 28 51.810629854
HIP 27072  ;05 44 27.7908940 -22 26 54.180763      
HIP 27435  ;05 48 34.9401453172 -04 05 40.719529406
HIP 28103  ;05 56 24.2930042 -14 10 03.718884      
HIP 29271  ;06 10 14.4741194137 -74 45 10.963587125
HIP 29295  ;06 10 34.6152510171 -21 51 52.658021185
HIP 29525  ;06 13 12.5027477683 +10 37 37.713412362
HIP 29568  ;06 13 45.2955618090 -23 51 42.968779940
HIP 29650  ;06 14 50.8755168504 +19 09 23.210642162
HIP 29800  ;06 16 26.6187785712 +12 16 19.790924635
HIP 30503  ;06 24 43.8797456693 -28 46 48.416253741
HIP 32439  ;06 46 14.1490160697 +79 33 53.316713406
HIP 32480  ;06 46 44.3375552599 +43 34 38.742949290
HIP 32984  ;06 52 18.0504546991 -05 10 25.366165190
HIP 33226  ;06 54 48.9577150656 +33 16 05.438570309
HIP 33277  ;06 55 18.6667052671 +25 22 32.503802377
HIP 33817  ;07 01 13.7244998356 -25 56 55.467043102
HIP 34017  ;07 03 30.4588797095 +29 20 13.496987787
HIP 34065  ;07 03 57.3152423334 -43 36 28.921620874
HIP 35136  ;07 15 50.1392154188 +47 14 23.875808075
HIP 36208  ;07 27 24.49975 +05 13 32.8332          
HIP 36366  ;07 29 06.71887 +31 47 04.3773          
HIP 36439  ;07 29 55.9568245403 +49 40 20.861583932
HIP 38784  ;07 56 17.2280848677 +80 15 55.954609278
HIP 38908  ;07 57 46.9145300342 -60 18 11.051586167
HIP 39903  ;08 09 00.5695810134 -61 18 08.583553860
HIP 40035  ;08 10 39.8257869468 -13 47 57.138604864
HIP 40693  ;08 18 23.9469692487 -12 37 55.810202572
HIP 40843  ;08 20 03.8606964664 +27 13 03.746404123
HIP 41926  ;08 32 51.4958311521 -31 30 03.062906467
HIP 42438  ;08 39 11.7043265307 +65 01 15.268273190
HIP 42808  ;08 43 18.0304005386 -38 52 56.570025600
HIP 43587  ;08 52 35.8113282132 +28 19 50.956901366
HIP 43726  ;08 54 17.9469808897 -05 26 04.046487788
HIP 43797  ;08 55 11.7820589468 -54 57 56.762642209
HIP 44075  ;08 58 43.9328634171 -16 07 57.805389219
HIP 44897  ;09 08 51.0705427688 +33 52 55.988119240
HIP 45333  ;09 14 20.5373862843 +61 25 23.953809117
HIP 45343  ;09 14 22.7754519714 +52 41 11.792840757
HIP 120005 ;09 14 24.6830609365 +52 41 10.906120364
HIP 46509  ;09 29 08.9408976854 -02 46 08.208984804
HIP 47080  ;09 35 39.5018053382 +35 48 36.484070234
HIP 47592  ;09 42 14.4165254340 -23 54 56.054079074
HIP 48113  ;09 48 35.3713005275 +46 01 15.633773390
HIP 49081  ;10 01 00.6567799273 +31 55 25.216848499
HIP 49908  ;10 11 22.1400209197 +49 27 15.249158750
HIP 49986  ;10 12 17.6684359061 -03 44 44.393843397
HIP 50384  ;10 17 14.53796 +23 06 22.3876          
HIP 50564  ;10 19 44.1668778 +19 28 15.294314      
HIP 50954  ;10 24 23.7059714 -74 01 53.803578      
HIP 51317  ;10 28 55.5513010331 +00 50 27.601817738
HIP 51459  ;10 30 37.5803678549 +55 58 49.936416690
HIP 51502  ;10 31 04.5420225146 +82 33 31.255563167
HIP 51523  ;10 31 21.8213012849 -53 42 55.737315449
HIP 53721  ;10 59 27.9738644892 +40 25 48.922388918
HIP 54035  ;11 03 20.19400 +35 58 11.5682          
HIP 54211  ;11 05 28.57798 +43 31 36.3914          
HIP 55846  ;11 26 45.3217209044 +03 00 47.158549988
HIP 56452  ;11 34 29.4862840828 -32 49 52.819893272
HIP 56997  ;11 41 03.0159358291 +34 12 05.882438337
HIP 57443  ;11 46 31.0719919710 -40 30 01.279976346
HIP 57507  ;11 47 15.8077490164 -30 17 11.437355211
HIP 57548  ;11 47 44.3968668170 +00 48 16.404931305
HIP 57757  ;11 50 41.7182390 +01 45 52.991019      
HIP 57939  ;11 52 58.7683801554 +37 43 07.240082865
HIP 58345  ;11 57 56.2063624042 -27 42 25.364242481
HIP 58576  ;12 00 44.4611593182 -10 26 46.055023587
HIP 59199  ;12 08 24.8165241 -24 43 43.950354      
HIP 61174  ;12 32 04.2265302 -16 11 45.616473      
HIP 61317  ;12 33 44.5448195 +41 21 26.924857      
HIP 62207  ;12 44 59.4050673140 +39 16 44.098316643
HIP 62523  ;12 48 47.0482457374 +24 50 24.820252955
HIP 62951  ;12 53 58.8003153880 -18 02 05.677093667
HIP 63721  ;13 03 29.0648355662 +25 47 47.866025476
HIP 64394  ;13 11 52.3937856 +27 52 41.453553      
HIP 64583  ;13 14 15.1459391643 -59 06 11.652757891
HIP 64792  ;13 16 46.5161591991 +09 25 26.967205938
HIP 64797  ;13 16 51.05313 +17 01 01.8441          
HIP 64924  ;13 18 24.3142756 -18 18 40.304648      
HIP 65721  ;13 28 25.8086 +13 46 43.637            
HIP 65859  ;13 29 59.7856884759 +10 22 37.784822214
HIP 67155  ;13 45 43.7754528655 +14 53 29.473195472
HIP 67275  ;13 47 15.74340 +17 27 24.8552          
HIP 68184  ;13 57 32.0591733968 +61 29 34.299358045
HIP 68682  ;14 03 32.3512374876 +10 47 12.439942066
HIP 69671  ;14 15 38.6854180858 -45 00 02.728009204
HIP 69965  ;14 19 00.8956424822 -25 48 55.531887272
HIP 69972  ;14 19 04.8341367419 -59 22 44.535027477
HIP 70319  ;14 23 15.2847534665 +01 14 29.641784590
HIP 70497  ;14 25 11.7970287 +51 51 02.676894      
HIP 70890  ;14 29 42.9451234609 -62 40 46.170818907
HIP 71284  ;14 34 40.8171808483 +29 44 42.463685978
HIP 72567  ;14 50 15.8107686483 +23 54 42.633203114
HIP 72603  ;14 50 41.1746746757 -15 59 50.028744741
HIP 72659  ;14 51 23.37993 +19 06 01.6994          
HIP 72848  ;14 53 23.7667403 +19 09 10.081308      
HIP 73184  ;14 57 28.0008928545 -21 24 55.726897561
HIP 73996  ;15 07 18.0658711040 +24 52 09.095241798
HIP 75181  ;15 21 48.1511171112 -48 19 03.462483973
HIP 76074  ;15 32 12.9326267337 -41 16 32.131578815
HIP 76829  ;15 41 11.3769921 -44 39 40.342813      
HIP 77052  ;15 44 01.8189306784 +02 30 54.600773948
HIP 77257  ;15 46 26.6144291449 +07 21 11.041647444
HIP 77358  ;15 47 29.1006767984 -37 54 58.722306957
HIP 77760  ;15 52 40.5411372117 +42 27 05.451105113
HIP 77801  ;15 53 12.0969759597 +13 11 47.842699872
HIP 78072  ;15 56 27.1826948 +15 39 41.820500      
HIP 78459  ;16 01 02.6608052290 +33 18 12.642245533
HIP 78775  ;16 04 56.7938239883 +39 09 23.434791067
HIP 79248  ;16 10 24.3152754550 +43 49 03.498734567
HIP 79537  ;16 13 48.5584718157 -57 34 13.843908786
HIP 79672  ;16 15 37.2703721200 -08 22 09.981989277
HIP 80337  ;16 24 01.2905970257 -39 11 34.734611237
HIP 80459  ;16 25 24.6233091302 +54 18 14.765751243
HIP 80686  ;16 28 28.1396465547 -70 05 03.822057572
HIP 80824  ;16 30 18.0582010683 -12 39 45.323235188
HIP 81300  ;16 36 21.4492997704 -02 19 28.512485729
HIP 82588  ;16 52 58.8025427362 -00 01 35.116299669
HIP 82860  ;16 56 01.6892483 +65 08 05.263139      
HIP 83541  ;17 04 27.8432064954 -28 34 57.639798036
HIP 83601  ;17 05 16.8186294192 +00 42 09.217571716
HIP 83609  ;17 05 20.7263053042 -33 46 00.025833174
HIP 84478  ;17 16 13.3627374963 -26 32 46.133091527
HIP 84720  ;17 19 03.83574 -46 38 10.4467          
HIP 84862  ;17 20 39.5675395123 +32 28 03.877348066
HIP 84893  ;17 21 00.3752009 -21 06 46.566283      
HIP 85042  ;17 22 51.2877095327 -02 23 17.439826176
HIP 85235  ;17 25 00.0982708577 +67 18 24.150141561
HIP 85295  ;17 25 45.2323043669 +02 06 41.123668100
HIP 85523  ;17 28 39.9455601300 -46 53 42.693246243
HIP 86162  ;17 36 25.8991699744 +68 20 20.904135942
HIP 86400  ;17 39 16.9163262 +03 33 18.875718      
HIP 86486  ;17 40 23.8255179884 -49 24 56.104103575
HIP 86620  ;17 41 58.1041581273 +72 09 24.836647212
HIP 86736  ;17 43 25.7937012 -21 40 59.497954      
HIP 86796  ;17 44 08.7036342277 -51 50 02.591049123
HIP 86974  ;17 46 27.5266778 +27 43 14.437984      
HIP 88574  ;18 05 07.5787546501 -03 01 52.753216025
HIP 88601  ;18 05 27.28518 +02 30 00.3558          
HIP 88694  ;18 06 23.7191233831 -36 01 11.229463639
HIP 88745  ;18 07 01.53971 +30 33 43.6896          
HIP 88972  ;18 09 37.4162810870 +38 27 27.995921559
HIP 89042  ;18 10 26.1511772984 -62 00 08.059294747
HIP 89348  ;18 13 53.8327884671 +64 23 50.225272101
HIP 89805  ;18 19 40.13138 -63 53 11.6282          
HIP 90790  ;18 31 18.9612203327 -18 54 31.732564617
HIP 91768  ;18 42 46.7048533410 +59 37 49.411785651
HIP 91772  ;18 42 46.8942178098 +59 37 36.723092516
HIP 93858  ;19 06 52.4643138830 -37 48 38.372801262
HIP 94761  ;19 16 55.2565250393 +05 10 08.038856129
HIP 95149  ;19 21 29.7277723051 -34 59 00.356331012
HIP 95319  ;19 23 34.0133626629 +33 13 19.074920892
HIP 95447  ;19 24 58.2002406780 +11 56 39.882312617
HIP 96100  ;19 32 21.5902990 +69 39 40.234737      
HIP 96441  ;19 36 26.5343563 +50 13 15.964573      
HIP 96895  ;19 41 48.9539315338 +50 31 30.218780803
HIP 97295  ;19 46 25.5997765489 +33 43 39.342745085
HIP 97675  ;19 51 01.6437560393 +10 24 56.595177367
HIP 97944  ;19 54 17.7452778997 -23 56 27.862976419
HIP 98036  ;19 55 18.7925630 +06 24 24.342501      
HIP 98470  ;20 00 20.2490835420 -33 42 12.427710024
HIP 98767  ;20 03 37.4049065078 +29 53 48.495330996
HIP 98959  ;20 05 32.7652367983 -67 19 15.228862402
HIP 99240  ;20 08 43.6094697 -66 10 55.443275      
HIP 99461  ;20 11 11.9384853308 -36 06 04.353559455
HIP 99701  ;20 13 53.3963903475 -45 09 50.473460317
HIP 99825  ;20 15 17.3916558603 -27 01 58.713584596
HIP 100017 ;20 17 31.3282807419 +66 51 13.281593047
HIP 100925 ;20 27 44.2428093744 -30 52 04.246660714
HIP 101997 ;20 40 11.7546336973 -23 46 25.924674471
HIP 102040 ;20 40 45.1407864181 +19 56 07.928511642
HIP 102485 ;20 46 05.7326265 -25 16 15.231155      
HIP 103096 ;20 53 19.7890710784 +62 09 15.813717444
HIP 103389 ;20 56 47.3303687041 -26 17 46.969399809
HIP 104214 ;21 06 53.9396100677 +38 44 57.897024357
HIP 104217 ;21 06 55.2640651855 +38 44 31.362140913
HIP 105090 ;21 17 15.2688576495 -38 52 02.510022611
HIP 105858 ;21 26 26.6048372 -65 21 58.314484      
HIP 106440 ;21 33 33.9749932664 -49 00 32.403471949
HIP 107350 ;21 44 31.3299733695 +14 46 18.982331039
HIP 107649 ;21 48 15.7510673466 -47 18 13.020109072
HIP 108870 ;22 03 21.6542294981 -56 47 09.537018193
HIP 109176 ;22 07 00.6620572743 +25 20 42.376138495
HIP 109422 ;22 10 08.7803395485 -32 32 54.275502381
HIP 110649 ;22 24 56.3720716646 -57 47 50.824747845
HIP 111449 ;22 34 41.6367033191 -20 42 29.574530725
HIP 112447 ;22 46 41.5811758 +12 10 22.385447      
HIP 112460 ;22 46 49.7311740821 +44 20 02.372223230
HIP 113020 ;22 53 16.7323107416 -14 15 49.303409936
HIP 113283 ;22 56 24.0532946025 -31 33 56.035064606
HIP 113357 ;22 57 27.9804167474 +20 46 07.782240714
HIP 113421 ;22 58 15.5411942071 -02 23 43.387117210
HIP 113576 ;23 00 16.1224771183 -22 31 27.651428500
HIP 114046 ;23 05 52.0354545522 -35 51 11.058757520
HIP 114622 ;23 13 16.9747821012 +57 10 06.076520993
HIP 114924 ;23 16 42.3028134294 +53 12 48.514282989
HIP 114948 ;23 16 57.6873978547 -62 00 04.318777045
HIP 116085 ;23 31 22.2087185647 +59 09 55.866485371
HIP 116745 ;23 39 37.3871312596 -72 43 19.757339908
HIP 116771 ;23 39 57.0413764 +05 37 34.647529      
HIP 117473 ;23 49 12.5251391270 +02 24 04.403044891
HIP 117712 ;23 52 25.4066877164 +75 32 40.368591630
